Type,Trans Date,Post Date,Description,Amount,Kind
Sale,2016-11-24,2016-11-27,TARGET        00003202,-75.06,Groceries
Sale,2016-11-23,2016-11-24,TMOBILE*AUTO PAY,-80.42,Phone
Sale,2016-11-23,2016-11-24,H2O WIRELESS,-36.0,Phone
Sale,2016-11-21,2016-11-22,REEBOK E-COMM,-27.96,Clothing
Sale,2016-11-20,2016-11-21,COSTCO.COM  *ONLINE,-55.0,Groceries
Sale,2016-11-20,2016-11-21,CALIFORNIA AUTO CENTER,-219.95,Auto
Return,2016-11-19,2016-11-20,APL* ITUNES.COM/BILL,2.99,Return
Sale,2016-11-19,2016-11-20,AMAZON MKTPLACE PMTS,-65.12,Goods
Sale,2016-11-19,2016-11-21,KUKJE SUPER MARKET,-100.08,Groceries
Sale,2016-11-19,2016-11-21,KUKJE SUPER MARKET,-29.43,Groceries
Sale,2016-11-19,2016-11-20,APL* ITUNES.COM/BILL,-0.99,Phone
Sale,2016-11-19,2016-11-21,KUKJE SUPER MARKET,-2.61,Groceries
Sale,2016-11-19,2016-11-20,Amazon.com,-7.51,Goods
Sale,2016-11-18,2016-11-20,NORDSTROM RACK #0474,-70.65,Clothing
Sale,2016-11-18,2016-11-20,CLUB MONACO CORP,-64.31,Clothing
Return,2016-11-18,2016-11-20,NORDSTROM #0427,162.19,Return
Sale,2016-11-18,2016-11-18,AMAZON MKTPLACE PMTS,-12.95,Goods
Sale,2016-11-17,2016-11-20,CALVINKLEIN.COM,-34.07,Clothing
Sale,2016-11-17,2016-11-20,SAFEWAY STORE 00015479,-17.96,Groceries
Sale,2016-11-16,2016-11-17,GOOGLE *TeslaCoil,-4.99,Phone
Sale,2016-11-16,2016-11-17,AMAZON MKTPLACE PMTS,-1.65,Goods
Return,2016-11-16,2016-11-17,CLUB MONACO CORP,64.31,Return
Sale,2016-11-16,2016-11-18,SAFEWAY STORE 00026062,-8.99,Groceries
Sale,2016-11-15,2016-11-16,SQ *LINDA'S CATERING,-5.44,Foods
Sale,2016-11-14,2016-11-15,YELPINC*EAT24 SENIORES,-29.92,Foods
Sale,2016-11-14,2016-11-15,Amazon Digital Svcs,-9.99,Goods
Sale,2016-11-12,2016-11-14,IKEA EAST PALO ALTO,-329.92,Furniture
Sale,2016-11-12,2016-11-14,IN-N-OUT BURGER #190,-18.69,Foods
Sale,2016-11-12,2016-11-14,WWW.ALIEXPRESS.COM,-15.59,Goods
Sale,2016-11-11,2016-11-14,KUKJE SUPER MARKET,-160.05,Groceries
Sale,2016-11-11,2016-11-14,KUKJE SUPER MARKET,-29.43,Groceries
Sale,2016-11-11,2016-11-13,APL* ITUNES.COM/BILL,-9.99,Phone
Sale,2016-11-10,2016-11-11,YELPINC*EAT24 SESAME K,-33.45,Foods
Sale,2016-11-10,2016-11-11,KFC/AW #230,-10.9,Foods
Sale,2016-11-10,2016-11-13,NORDSTROM DIRECT #0808,-203.5,Clothing
Sale,2016-11-09,2016-11-10,CLUB MONACO CORP,-64.31,Clothing
Sale,2016-11-08,2016-11-08,Amazon.com,-3.75,Goods
Sale,2016-11-08,2016-11-08,Amazon.com,-15.71,Goods
Return,2016-11-08,2016-11-09,BLOOMINGDALES.COM,43.59,Return
Sale,2016-11-08,2016-11-10,SAFEWAY STORE 00026062,-11.95,Groceries
Sale,2016-11-07,2016-11-08,STATE OF CALIF DMV INT SC,-2.0,Auto
Sale,2016-11-07,2016-11-07,AMAZON MKTPLACE PMTS,-11.97,Goods
Sale,2016-11-07,2016-11-09,IN-N-OUT BURGER #190,-7.79,Foods
Return,2016-11-07,2016-11-08,AMAZON MKTPLACE PMTS,21.95,Goods
Sale,2016-11-07,2016-11-08,SQ *TORRAKU RAMEN,-13.05,Foods
Sale,2016-11-07,2016-11-08,Amazon.com,-32.53,Goods
Sale,2016-11-06,2016-11-07,A&amp;A GAS,-19.88,Auto
Sale,2016-11-06,2016-11-08,SAFEWAY STORE 00015479,-13.83,Groceries
Sale,2016-11-05,2016-11-07,HANKOOK SUPERMARKET,-204.8,Groceries
Sale,2016-11-05,2016-11-07,IKEA EAST PALO ALTO,-104.83,Furniture
Sale,2016-11-05,2016-11-07,THE HOME DEPOT #6603,-40.71,Furniture
Return,2016-11-05,2016-11-06,Amazon.com,133.85,Return
Sale,2016-11-05,2016-11-06,IKEA EAST PALO ALTO,-2.0,Furniture
Sale,2016-11-05,2016-11-07,THE HOME DEPOT #6603,-7.6,Furniture
Sale,2016-11-05,2016-11-07,PAYPAL *UDEMY,-13.0,Study
Sale,2016-11-04,2016-11-06,Amazon.com,-79.34,Auto
Sale,2016-11-04,2016-11-06,BURLINGAME LIQUOR,-12.31,Groceries
Return,2016-11-03,2016-11-04,AMAZON MKTPLACE PMTS,336.91,Return
Sale,2016-11-03,2016-11-03,COSTCO.COM  *ONLINE,-27.23,Groceries
Sale,2016-11-03,2016-11-04,COSTCO.COM  *ONLINE,-19.4,Groceries
Sale,2016-11-03,2016-11-06,YELPINC*EAT24 BONCHON,-34.91,Foods
Payment,2016-11-03,2016-11-03,Payment Thank You - Web,735.89,Payment
Sale,2016-11-02,2016-11-03,Amazon.com,-12.98,Goods
Sale,2016-11-02,2016-11-03,AMAZON MKTPLACE PMTS,-56.78,Goods
Sale,2016-11-02,2016-11-03,BLOOMINGDALES.COM,-87.16,Clothing
Return,2016-11-02,2016-11-03,AmazonPrime Membership,99.28,Return
Sale,2016-11-02,2016-11-03,YELPINC*EAT24 SENIORES,-34.72,Foods
Sale,2016-11-02,2016-11-03,AMAZON MKTPLACE PMTS,-40.84,Goods
Sale,2016-11-02,2016-11-03,Amazon.com,-98.09,Goods
Sale,2016-11-02,2016-11-03,Amazon.com,-61.53,Goods
Sale,2016-11-01,2016-11-02,YOURMECHANIC.COM,-96.0,Auto
Sale,2016-11-01,2016-11-02,Amazon.com,-95.28,Goods
Sale,2016-11-01,2016-11-03,SAFEWAY STORE 00015479,-9.26,Groceries
Sale,2016-10-31,2016-11-02,WALGREENS #6655,-22.8,Groceries
Payment,2016-10-31,2016-10-31,Payment Thank You - Web,3400.0,Payment
Sale,2016-10-31,2016-11-01,PAYPAL *UDEMY,-20.0,Study
Sale,2016-10-31,2016-10-31,AMAZON MKTPLACE PMTS,-29.95,Goods
Sale,2016-10-30,2016-10-31,Amazon.com,-179.84,Goods
Sale,2016-10-30,2016-10-30,Amazon.com,-25.0,Goods
Sale,2016-10-30,2016-10-31,AMAZON MKTPLACE PMTS,-336.91,Goods
Sale,2016-10-30,2016-11-01,BLUE LINE PIZZA - BURL,-31.88,Foods
Sale,2016-10-30,2016-10-31,99 RANCH #1782,-123.37,Groceries
Sale,2016-10-30,2016-10-31,AMAZON MKTPLACE PMTS,-23.99,Goods
Sale,2016-10-30,2016-10-30,Amazon.com,-14.64,Goods
Sale,2016-10-29,2016-10-31,IKEA EAST PALO ALTO,-1.08,Furniture
Sale,2016-10-29,2016-11-02,THE HOME DEPOT #6603,-8.5,Furniture
Sale,2016-10-29,2016-10-31,STARBUCKS STORE 06871,-8.2,Coffee
Sale,2016-10-29,2016-10-30,Amazon.com,-190.62,Goods
Sale,2016-10-29,2016-10-31,SAFEWAY STORE 00015479,-13.98,Groceries
Sale,2016-10-28,2016-10-31,KUKJE SUPER MARKET,-24.4,Groceries
Sale,2016-10-28,2016-10-31,KUKJE SUPER MARKET,-30.42,Groceries
Sale,2016-10-28,2016-10-31,KUKJE SUPER MARKET,-164.85,Groceries
Sale,2016-10-27,2016-10-28,SQ *LINDA'S CATERING,-5.44,Foods
Sale,2016-10-27,2016-10-30,IN-N-OUT BURGER #159,-7.79,Foods
Sale,2016-10-27,2016-10-28,WESTLAKE SMOG CHECK,-45.0,Auto
Sale,2016-10-27,2016-10-30,YELPINC*EAT24 GOLDEN M,-35.85,Foods
Sale,2016-10-27,2016-10-28,7-ELEVEN 19235,-28.53,Foods
Sale,2016-10-26,2016-10-28,IN-N-OUT BURGER #159,-7.79,Foods
Sale,2016-10-26,2016-10-28,SAFEWAY STORE 00026062,-13.52,Groceries
Sale,2016-10-26,2016-10-28,YAKINI Q,-50.0,Foods
Sale,2016-10-26,2016-10-27,GEICO  *AUTO,-50.05,Auto
Sale,2016-10-26,2016-10-27,BEST BUY      00001875,-24.45,Goods
Sale,2016-10-26,2016-10-26,UBER TECHNOLOGIES INC,-15.81,Auto
Sale,2016-10-26,2016-10-27,STATE OF CALIF DMV INT SC,-35.0,Auto
Sale,2016-10-25,2016-10-27,STARBUCKS STORE 06677,-9.45,Coffee
Sale,2016-10-25,2016-10-26,CHIPOTLE 2080,-19.03,Foods
Sale,2016-10-24,2016-10-26,SAFEWAY STORE 00026062,-5.99,Groceries
Sale,2016-10-24,2016-10-26,SAFEWAY STORE 00026062,-30.1,Groceries
Sale,2016-10-24,2016-10-25,PAYPAL *CARFAX INC,-69.99,Auto
Sale,2016-10-23,2016-10-25,YELPINC*EAT24 PAPA RAY,-34.05,Foods
Sale,2016-10-23,2016-10-24,NOAH'S BAGELS #2147,-21.88,Foods
Sale,2016-10-23,2016-10-25,JAMBA JUICE 0354 QSR,-12.78,Foods
Sale,2016-10-23,2016-10-24,IMPERIAL GARDEN SEAFOOD,-31.17,Foods
Sale,2016-10-23,2016-10-24,TMOBILE*AUTO PAY,-80.56,Phone
Sale,2016-10-22,2016-10-24,PEET'S #31502,-2.8,Coffee
Sale,2016-10-22,2016-10-23,SQ *COOL TEA BAR ON WAVER,-8.72,Coffee
Sale,2016-10-22,2016-10-23,UBER   *US OCT21 6RGYY,-17.81,Auto
Sale,2016-10-22,2016-10-24,7-ELEVEN 33434,-8.0,Foods
Sale,2016-10-22,2016-10-24,TARGET        00027664,-18.78,Groceries
Sale,2016-10-21,2016-10-23,KAISER 02090314,-10.0,Medical
Sale,2016-10-21,2016-10-23,NIJIYA MARKET #62,-19.16,Groceries
Sale,2016-10-21,2016-10-23,SAFEWAY STORE 00026062,-7.74,Groceries
Sale,2016-10-20,2016-10-23,SAFEWAY STORE 00026062,-5.0,Groceries
Sale,2016-10-20,2016-10-21,PAPA RAYS PIZZA,-28.33,Foods
Sale,2016-10-20,2016-10-23,SUBWAY        00343418,-9.44,Foods
Sale,2016-10-20,2016-10-23,7-ELEVEN 33434,-8.69,Foods
Sale,2016-10-20,2016-10-23,STARBUCKS STORE 06677,-2.45,Coffee
Sale,2016-10-20,2016-10-23,SAFEWAY STORE 00026062,-4.44,Groceries
Sale,2016-10-20,2016-10-21,SQ *LINDA'S CATERING,-5.44,Foods
Sale,2016-10-19,2016-10-21,SAFEWAY STORE 00026062,-5.0,Groceries
Sale,2016-10-19,2016-10-21,ZAZANG RESTAURANT,-27.83,Foods
Sale,2016-10-19,2016-10-20,SQ *LINDA'S CATERING,-5.44,Foods
Sale,2016-10-18,2016-10-20,SAFEWAY STORE 00026062,-5.99,Groceries
Sale,2016-10-18,2016-10-20,AMICIS SF1 EAST COAST PIZ,-19.1,Foods
Sale,2016-10-18,2016-10-20,SAFEWAY STORE 00026062,-6.58,Groceries
Sale,2016-10-18,2016-10-20,STARBUCKS STORE 06677,-2.5,Coffee
Sale,2016-10-17,2016-10-18,7-ELEVEN 35663,-2.29,Foods
Sale,2016-10-17,2016-10-18,PANERA BREAD #2225,-5.64,Foods
Sale,2016-10-17,2016-10-19,SAFEWAY STORE 00026062,-11.95,Groceries
Sale,2016-10-17,2016-10-19,STARBUCKS STORE 06677,-2.45,Coffee
