Type,Trans Date,Post Date,Description,Amount,Kind
Sale,2016-09-23,2016-09-25,SAFEWAY STORE 00026062,-3.25,Groceries
Sale,2016-09-22,2016-09-23,JET.COM,-6.35,Goods
Sale,2016-09-22,2016-09-23,SQ *LINDA'S CATERING,-19.58,Foods
Sale,2016-09-22,2016-09-23,JET.COM,-27.01,Goods
Sale,2016-09-21,2016-09-23,SAFEWAY STORE 00026062,-5.0,Groceries
Sale,2016-09-20,2016-09-20,TARGET.COM  *,-5.0,Groceries
Sale,2016-09-20,2016-09-22,SAFEWAY STORE 00026062,-5.74,Groceries
Sale,2016-09-20,2016-09-20,TARGET.COM  *,-7.59,Groceries
Return,2016-09-19,2016-09-21,ANTHROPOLOGIE.COM,108.7,Return
Sale,2016-09-19,2016-09-21,MARSHALLS #0274,-20.74,Clothing
Sale,2016-09-19,2016-09-20,TARGET        00027664,-9.41,Groceries
Sale,2016-09-17,2016-09-19,STARBUCKS STORE 02994,-6.9,Coffee
Sale,2016-09-16,2016-09-18,NIJIYA MARKET #62,-12.47,Groceries
Sale,2016-09-16,2016-09-18,SAN BRUNO SUPERMARKET,-12.65,Groceries
Sale,2016-09-16,2016-09-19,KIM HUONG VIETNAMESSE CUI,-23.54,Foods
Sale,2016-09-15,2016-09-18,SAFEWAY STORE 00026062,-8.49,Groceries
Sale,2016-09-14,2016-09-16,SAN BRUNO SUPERMARKET,-11.2,Groceries
Sale,2016-09-13,2016-09-14,SQ *LINDA'S CATERING,-8.7,Foods
Sale,2016-09-12,2016-09-13,ANTHROPOLOGIE.COM,-76.07,Clothing
Sale,2016-09-10,2016-09-12,SMARTNFINAL44611004462,-4.04,Foods
Sale,2016-09-09,2016-09-11,SAFEWAY STORE 00026062,-4.78,Groceries
Sale,2016-09-09,2016-09-11,TARGET        00027664,-4.65,Groceries
Sale,2016-09-09,2016-09-11,COSTCO.COM  *ONLINE,-21.74,Groceries
Sale,2016-09-08,2016-09-11,WHOLEFDS SOM 10151,-12.5,Groceries
Sale,2016-09-08,2016-09-11,ANTHROPOLOGIE.COM,-108.7,Clothing
Sale,2016-09-07,2016-09-08,BRICK HOUSE CAFE,-16.86,Coffee
Sale,2016-09-06,2016-09-07,SQ *LINDA'S CATERING,-9.79,Foods
Sale,2016-09-05,2016-09-06,TENPAY*86DAIGOU,-29.53,Foods
Sale,2016-09-04,2016-09-06,STARBUCKS STORE 05404,-4.95,Coffee
Sale,2016-09-04,2016-09-06,SAN BRUNO SUPERMARKET,-10.53,Groceries
Sale,2017-01-31,2017-02-02,WALGREENS #6655,-22.8,Groceries
Sale,2017-01-31,2017-02-01,PAYPAL *AFFORDAMACL,-2.99,Goods
Return,2017-01-30,2017-01-30,Gilroy,4.48,Return
Sale,2017-01-30,2017-01-31,NAUTICA #73,-11.66,Clothing
Return,2017-01-30,2017-01-30,Gilroy,4.48,Return
Sale,2017-01-30,2017-01-31,COSTCO GAS #0422,-25.0,Auto
Return,2017-01-30,2017-01-30,Gilroy,28.72,Goods
Sale,2017-01-29,2017-01-31,IN-N-OUT BURGER #100,-17.85,Foods
Sale,2017-01-29,2017-01-31,SKECHERS-USA #7,-73.22,Clothing
Sale,2017-01-29,2017-01-30,Gilroy,-24.25,Clothing
Sale,2017-01-29,2017-01-31,PAYPAL *MANNING PUB,-34.29,Study
Return,2017-01-29,2017-01-31,NAUTICA #73,4.71,Return
Sale,2017-01-29,2017-01-31,CALVIN KLEIN #005,-17.36,Clothing
Sale,2017-01-29,2017-01-30,Gilroy,-52.96,Clothing
Sale,2017-01-29,2017-01-31,STARBUCKS STORE 05501,-5.45,Coffee
Sale,2017-01-29,2017-01-30,GOOGLE *Costco,-67.9,Groceries
Sale,2017-01-29,2017-01-31,ADIDAS 6114,-8.11,Foods
Sale,2017-01-28,2017-01-30,SICHUAN FUSION,-30.6,Foods
Return,2017-01-28,2017-01-29,BEST BUY      00018960,114.13,Return
Sale,2017-01-28,2017-01-29,99 RANCH #1781,-15.9,Groceries
Payment,2017-01-28,2017-01-29,Payment Thank You - Web,1737.84,Payment
Sale,2017-01-27,2017-01-29,AUTOZONE #3307,-7.6,Auto
Sale,2017-01-27,2017-01-29,PAYPAL *UDEMY,-10.0,Study
Sale,2017-01-26,2017-01-27,GEICO  *AUTO,-49.17,Auto
Sale,2017-01-26,2017-01-29,99 RANCH #1769,-58.04,Groceries
Sale,2017-01-26,2017-01-27,A&amp;A GAS,-26.85,Auto
Sale,2017-01-26,2017-01-27,7-ELEVEN 14316,-10.98,Foods
Sale,2017-01-26,2017-01-27,AMICIS SF1 EAST COAST PIZ,-14.46,Foods
Sale,2017-01-25,2017-01-26,KFC/AW #230,-10.88,Foods
Sale,2017-01-25,2017-01-27,CITY OF SAN FRANCISCO POR,-8.0,Auto
Sale,2017-01-24,2017-01-24,COMCAST CALIFORNIA,-79.99,Internet
Sale,2017-01-24,2017-01-26,HONG KONG BANJUM SAN J,-18.0,Foods
Sale,2017-01-23,2017-01-24,TMOBILE*AUTO PAY,-74.38,Phone
Sale,2017-01-23,2017-01-24,GOOGLE *Shipping &amp; ser,-4.99,Foods
Sale,2017-01-23,2017-01-24,PAYPAL *MANNING PUB,-36.84,Study
Sale,2017-01-23,2017-01-24,WWW.NEWEGG.COM,-18.22,Goods
Return,2017-01-22,2017-01-23,COSTCO WHSE #0422,55.0,Groceries
Sale,2017-01-22,2017-01-23,H2O WIRELESS,-36.0,Phone
Sale,2017-01-21,2017-01-22,SQ *CHA EXPRESS,-4.37,Foods
Sale,2017-01-20,2017-01-20,APL* ITUNES.COM/BILL,-0.99,Phone
Sale,2017-01-20,2017-01-23,KUKJE SUPER MARKET,-9.39,Groceries
Sale,2017-01-20,2017-01-22,COSTCO.COM  *ONLINE,-47.83,Groceries
Sale,2017-01-20,2017-01-22,AMICIS SF1 EAST COAST PIZ,-15.59,Foods
Sale,2017-01-20,2017-01-22,99 RANCH #1769,-83.42,Groceries
Sale,2017-01-19,2017-01-22,SAFEWAY STORE 00026062,-2.08,Groceries
Sale,2017-01-19,2017-01-22,AMICIS SF1 EAST COAST PIZ,-14.46,Foods
Sale,2017-01-19,2017-01-22,MCDONALD'S F13001,-6.75,Foods
Return,2017-01-19,2017-01-20,Amazon.com,16.52,Return
Sale,2017-01-18,2017-01-19,CCSF MTA IPS PRKNG METER,-0.25,Auto
Sale,2017-01-18,2017-01-19,CCSF MTA IPS PRKNG METER,-2.0,Auto
Sale,2017-01-18,2017-01-19,AMICIS SF1 EAST COAST PIZ,-14.46,Foods
Sale,2017-01-18,2017-01-20,IN-N-OUT BURGER #190,-8.1,Foods
Sale,2017-01-18,2017-01-19,A&amp;A GAS,-24.36,Auto
Sale,2017-01-18,2017-01-19,AMAZON MKTPLACE PMTS,-16.99,Goods
Sale,2017-01-18,2017-01-19,PAYPAL *UDEMY,-10.0,Study
Return,2017-01-17,2017-01-18,PAYPAL *CMDMACPART,5.34,Return
Sale,2017-01-17,2017-01-18,COSTCO.COM  *ONLINE,-30.04,Groceries
Sale,2017-01-17,2017-01-18,Amazon.com,-16.52,Goods
Sale,2017-01-17,2017-01-18,PAYPAL *CMDMACPART,-5.34,Foods
Sale,2017-01-17,2017-01-19,MCDONALD'S F13001,-6.75,Foods
Sale,2017-01-16,2017-01-17,BestBuyCom795001044830,-114.13,Goods
Sale,2017-01-16,2017-01-17,NAUTICA #127,-88.74,Clothing
