Type,Trans Date,Post Date,Description,Amount
Sale,01/20/2017,01/23/2017,KUKJE SUPER MARKET,-9.39
Sale,01/20/2017,01/22/2017,COSTCO.COM  *ONLINE,-47.83
Sale,01/20/2017,01/22/2017,AMICIS SF1 EAST COAST PIZ,-15.59
Sale,01/20/2017,01/22/2017,99 RANCH #1769,-83.42
Sale,01/19/2017,01/22/2017,SAFEWAY STORE 00026062,-2.08
Sale,01/19/2017,01/22/2017,AMICIS SF1 EAST COAST PIZ,-14.46
Sale,01/19/2017,01/22/2017,MCDONALD'S F13001,-6.75
Return,01/19/2017,01/20/2017,Amazon.com,16.52
Sale,01/18/2017,01/19/2017,CCSF MTA IPS PRKNG METER,-0.25
Sale,01/18/2017,01/19/2017,CCSF MTA IPS PRKNG METER,-2.00
Sale,01/18/2017,01/19/2017,AMICIS SF1 EAST COAST PIZ,-14.46
Sale,01/18/2017,01/20/2017,IN-N-OUT BURGER #190,-8.10
Sale,01/18/2017,01/19/2017,A&amp;A GAS,-24.36
Sale,01/18/2017,01/19/2017,AMAZON MKTPLACE PMTS,-16.99
Sale,01/18/2017,01/19/2017,PAYPAL *UDEMY,-10.00
Return,01/17/2017,01/18/2017,PAYPAL *CMDMACPART,5.34
Sale,01/17/2017,01/18/2017,COSTCO.COM  *ONLINE,-30.04
Sale,01/17/2017,01/18/2017,Amazon.com,-16.52
Sale,01/17/2017,01/18/2017,PAYPAL *CMDMACPART,-5.34
Sale,01/17/2017,01/19/2017,MCDONALD'S F13001,-6.75
Sale,01/16/2017,01/17/2017,BestBuyCom795001044830,-114.13
Sale,01/16/2017,01/17/2017,NAUTICA #127,-88.74
Sale,01/15/2017,01/16/2017,MOTHERHOOD OUT00006585,-56.93
Sale,01/15/2017,01/17/2017,PAYPAL *UDEMY,-30.00
Sale,01/15/2017,01/16/2017,MOTHERHOOD OUT00006585,-5.41
Sale,01/15/2017,01/16/2017,EDDIE BAUER 164,-78.10
Sale,01/15/2017,01/16/2017,Milpitas,-49.90
Sale,01/15/2017,01/16/2017,GREAT MALL MAYFLOWER REST,-36.00
Sale,01/14/2017,01/15/2017,SQ *TEAVEN,-4.15
Sale,01/14/2017,01/15/2017,NIJIYA MARKET #62,-25.34
Sale,01/14/2017,01/15/2017,WOORI FOOD MARKET,-3.97
Sale,01/14/2017,01/15/2017,99 RANCH #1769,-5.28
Sale,01/14/2017,01/15/2017,99 RANCH #1769,-45.24
Sale,01/14/2017,01/16/2017,BIG MOUTH BURGERS-MIL,-11.17
Sale,01/14/2017,01/15/2017,Amazon Digital Svcs,-9.99
Sale,01/13/2017,01/15/2017,COSTCO.COM  *ONLINE,-11.14
Sale,01/13/2017,01/15/2017,STARBUCKS STORE 05336,-2.45
Sale,01/12/2017,01/12/2017,COSTCO.COM  *ONLINE,-47.77
Sale,01/12/2017,01/13/2017,Amazon.com,-58.35
Sale,01/11/2017,01/12/2017,A&amp;A GAS,-26.68
Sale,01/08/2017,01/09/2017,AMAZON MKTPLACE PMTS,-14.08
Sale,01/07/2017,01/09/2017,KUKJE SUPER MARKET,-48.82
Sale,01/07/2017,01/08/2017,TARGET.COM  *,-19.65
Sale,01/07/2017,01/08/2017,WALGREENS #6655,-26.08
Sale,01/07/2017,01/08/2017,99 RANCH #1769,-34.23
Sale,01/06/2017,01/08/2017,CITY OF SAN FRANCISCO POR,-4.00
Sale,01/06/2017,01/06/2017,TARGET.COM  *,-21.20
Sale,01/06/2017,01/08/2017,TARGET        00014076,-5.43
Sale,01/06/2017,01/08/2017,SQ *COOL TEA BAR  WAVERLY,-8.18
Sale,01/06/2017,01/10/2017,ABM PARKING 1670 OWEN ST,-4.00
Sale,01/06/2017,01/08/2017,KAISER 02090311,-10.00
Sale,01/05/2017,01/08/2017,STARBUCKS STORE 06871,-2.45
Sale,01/05/2017,01/06/2017,AMAZON MKTPLACE PMTS,-6.36
Sale,01/03/2017,01/05/2017,KUKJE SUPER MARKET,-10.12
Sale,01/03/2017,01/04/2017,AMAZON MKTPLACE PMTS,-39.90
Payment,01/03/2017,01/03/2017,Payment Thank You - Web,3750.00
Sale,01/03/2017,01/05/2017,KUKJE SUPER MARKET,-12.69
Sale,01/02/2017,01/03/2017,SORABOL SF CENTER,-10.82
Sale,01/02/2017,01/03/2017,OLD NAVY US 5934,-22.74
Sale,01/02/2017,01/03/2017,NIJIYA MARKET #62,-30.94
Sale,01/02/2017,01/04/2017,WALGREENS #6655,-22.80
Sale,01/02/2017,01/04/2017,STARBUCKS STORE 06677,-2.45
Sale,01/02/2017,01/02/2017,AMAZON MKTPLACE PMTS,-16.99
Sale,01/02/2017,01/03/2017,PAYPAL *UDEMY,-90.00
Sale,01/01/2017,01/02/2017,ALIEXPRESS,-24.99
Sale,12/31/2016,01/02/2017,PAYPAL *PURITANSPRI,-13.99
Sale,12/31/2016,01/02/2017,PAYPAL *WALMART COM,-8.98
Sale,12/31/2016,01/01/2017,PAYPAL *DIGIZONE,-2.17
Sale,12/31/2016,01/01/2017,SQ *COOL TEA BAR  WAVERLY,-8.72
