Type,Trans Date,Post Date,Description,Amount,Kind
Sale,1/31/17,2/2/17,WALGREENS #6655,-22.8,Groceries
Sale,1/31/17,2/1/17,PAYPAL *AFFORDAMACL,-2.99,Goods
Return,1/30/17,1/30/17,Gilroy,4.48,Return
Sale,1/30/17,1/31/17,NAUTICA #73,-11.66,Clothing
Return,1/30/17,1/30/17,Gilroy,4.48,Return
Sale,1/30/17,1/31/17,COSTCO GAS #0422,-25,Auto
Return,1/30/17,1/30/17,Gilroy,28.72,Goods
Sale,1/29/17,1/31/17,IN-N-OUT BURGER #100,-17.85,Foods
Sale,1/29/17,1/31/17,SKECHERS-USA #7,-73.22,Clothing
Sale,1/29/17,1/30/17,Gilroy,-24.25,Clothing
Sale,1/29/17,1/31/17,PAYPAL *MANNING PUB,-34.29,Study
Return,1/29/17,1/31/17,NAUTICA #73,4.71,Return
Sale,1/29/17,1/31/17,CALVIN KLEIN #005,-17.36,Clothing
Sale,1/29/17,1/30/17,Gilroy,-52.96,Clothing
Sale,1/29/17,1/31/17,STARBUCKS STORE 05501,-5.45,Coffee
Sale,1/29/17,1/30/17,GOOGLE *Costco,-67.9,Groceries
Sale,1/29/17,1/31/17,ADIDAS 6114,-8.11,Foods
Sale,1/28/17,1/30/17,SICHUAN FUSION,-30.6,Foods
Return,1/28/17,1/29/17,BEST BUY      00018960,114.13,Return
Sale,1/28/17,1/29/17,99 RANCH #1781,-15.9,Groceries
Payment,1/28/17,1/29/17,Payment Thank You - Web,1737.84,Payment
Sale,1/27/17,1/29/17,AUTOZONE #3307,-7.6,Auto
Sale,1/27/17,1/29/17,PAYPAL *UDEMY,-10,Study
Sale,1/26/17,1/27/17,GEICO  *AUTO,-49.17,Auto
Sale,1/26/17,1/29/17,99 RANCH #1769,-58.04,Groceries
Sale,1/26/17,1/27/17,A&amp;A GAS,-26.85,Auto
Sale,1/26/17,1/27/17,7-ELEVEN 14316,-10.98,Foods
Sale,1/26/17,1/27/17,AMICIS SF1 EAST COAST PIZ,-14.46,Foods
Sale,1/25/17,1/26/17,KFC/AW #230,-10.88,Foods
Sale,1/25/17,1/27/17,CITY OF SAN FRANCISCO POR,-8,Auto
Sale,1/24/17,1/24/17,COMCAST CALIFORNIA,-79.99,Internet
Sale,1/24/17,1/26/17,HONG KONG BANJUM SAN J,-18,Foods
Sale,1/23/17,1/24/17,TMOBILE*AUTO PAY,-74.38,Phone
Sale,1/23/17,1/24/17,GOOGLE *Shipping &amp; ser,-4.99,Foods
Sale,1/23/17,1/24/17,PAYPAL *MANNING PUB,-36.84,Study
Sale,1/23/17,1/24/17,WWW.NEWEGG.COM,-18.22,Goods
Return,1/22/17,1/23/17,COSTCO WHSE #0422,55,Groceries
Sale,1/22/17,1/23/17,H2O WIRELESS,-36,Phone
Sale,1/21/17,1/22/17,SQ *CHA EXPRESS,-4.37,Foods
Sale,1/20/17,1/20/17,APL* ITUNES.COM/BILL,-0.99,Phone
Sale,1/20/17,1/23/17,KUKJE SUPER MARKET,-9.39,Groceries
Sale,1/20/17,1/22/17,COSTCO.COM  *ONLINE,-47.83,Groceries
Sale,1/20/17,1/22/17,AMICIS SF1 EAST COAST PIZ,-15.59,Foods
Sale,1/20/17,1/22/17,99 RANCH #1769,-83.42,Groceries
Sale,1/19/17,1/22/17,SAFEWAY STORE 00026062,-2.08,Groceries
Sale,1/19/17,1/22/17,AMICIS SF1 EAST COAST PIZ,-14.46,Foods
Sale,1/19/17,1/22/17,MCDONALD'S F13001,-6.75,Foods
Return,1/19/17,1/20/17,Amazon.com,16.52,Return
Sale,1/18/17,1/19/17,CCSF MTA IPS PRKNG METER,-0.25,Auto
Sale,1/18/17,1/19/17,CCSF MTA IPS PRKNG METER,-2,Auto
Sale,1/18/17,1/19/17,AMICIS SF1 EAST COAST PIZ,-14.46,Foods
Sale,1/18/17,1/20/17,IN-N-OUT BURGER #190,-8.1,Foods
Sale,1/18/17,1/19/17,A&amp;A GAS,-24.36,Auto
Sale,1/18/17,1/19/17,AMAZON MKTPLACE PMTS,-16.99,Goods
Sale,1/18/17,1/19/17,PAYPAL *UDEMY,-10,Study
Return,1/17/17,1/18/17,PAYPAL *CMDMACPART,5.34,Return
Sale,1/17/17,1/18/17,COSTCO.COM  *ONLINE,-30.04,Groceries
Sale,1/17/17,1/18/17,Amazon.com,-16.52,Goods
Sale,1/17/17,1/18/17,PAYPAL *CMDMACPART,-5.34,Foods
Sale,1/17/17,1/19/17,MCDONALD'S F13001,-6.75,Foods
Sale,1/16/17,1/17/17,BestBuyCom795001044830,-114.13,Goods
Sale,1/16/17,1/17/17,NAUTICA #127,-88.74,Clothing
Sale,1/15/17,1/16/17,MOTHERHOOD OUT00006585,-56.93,Clothing
Sale,1/15/17,1/17/17,PAYPAL *UDEMY,-30,Study
Sale,1/15/17,1/16/17,MOTHERHOOD OUT00006585,-5.41,Clothing
Sale,1/15/17,1/16/17,EDDIE BAUER 164,-78.1,Clothing
Sale,1/15/17,1/16/17,Milpitas,-49.9,Foods
Sale,1/15/17,1/16/17,GREAT MALL MAYFLOWER REST,-36,Foods
Sale,1/14/17,1/15/17,SQ *TEAVEN,-4.15,Foods
Sale,1/14/17,1/15/17,NIJIYA MARKET #62,-25.34,Groceries
Sale,1/14/17,1/15/17,WOORI FOOD MARKET,-3.97,Groceries
Sale,1/14/17,1/15/17,99 RANCH #1769,-5.28,Groceries
Sale,1/14/17,1/15/17,99 RANCH #1769,-45.24,Groceries
Sale,1/14/17,1/16/17,BIG MOUTH BURGERS-MIL,-11.17,Foods
Sale,1/14/17,1/15/17,Amazon Digital Svcs,-9.99,Goods
Sale,1/13/17,1/15/17,COSTCO.COM  *ONLINE,-11.14,Groceries
Sale,1/13/17,1/15/17,STARBUCKS STORE 05336,-2.45,Coffee
Sale,1/12/17,1/12/17,COSTCO.COM  *ONLINE,-47.77,Groceries
Sale,1/12/17,1/13/17,Amazon.com,-58.35,Goods
Sale,1/11/17,1/12/17,A&amp;A GAS,-26.68,Auto
Sale,1/8/17,1/9/17,AMAZON MKTPLACE PMTS,-14.08,Goods
Sale,1/7/17,1/9/17,KUKJE SUPER MARKET,-48.82,Groceries
Sale,1/7/17,1/8/17,TARGET.COM  *,-19.65,Groceries
Sale,1/7/17,1/8/17,WALGREENS #6655,-26.08,Groceries
Sale,1/7/17,1/8/17,99 RANCH #1769,-34.23,Groceries
Sale,1/6/17,1/8/17,CITY OF SAN FRANCISCO POR,-4,Coffee
Sale,1/6/17,1/6/17,TARGET.COM  *,-21.2,Groceries
Sale,1/6/17,1/8/17,TARGET        00014076,-5.43,Groceries
Sale,1/6/17,1/8/17,SQ *COOL TEA BAR  WAVERLY,-8.18,Foods
Sale,1/6/17,1/10/17,ABM PARKING 1670 OWEN ST,-4,Auto
