Type,Trans Date,Post Date,Description,Amount,Kind
Sale,1/6/17,1/8/17,KAISER 02090311,-10,Medical
Sale,1/5/17,1/8/17,STARBUCKS STORE 06871,-2.45,Coffee
Sale,1/5/17,1/6/17,AMAZON MKTPLACE PMTS,-6.36,Goods
Sale,1/3/17,1/5/17,KUKJE SUPER MARKET,-10.12,Groceries
Sale,1/3/17,1/4/17,AMAZON MKTPLACE PMTS,-39.9,Goods
Payment,1/3/17,1/3/17,Payment Thank You - Web,3750,Payment
Sale,1/3/17,1/5/17,KUKJE SUPER MARKET,-12.69,Groceries
Sale,1/2/17,1/3/17,SORABOL SF CENTER,-10.82,Foods
Sale,1/2/17,1/3/17,OLD NAVY US 5934,-22.74,Clothing
Sale,1/2/17,1/3/17,NIJIYA MARKET #62,-30.94,Groceries
Sale,1/2/17,1/4/17,WALGREENS #6655,-22.8,Groceries
Sale,1/2/17,1/4/17,STARBUCKS STORE 06677,-2.45,Coffee
Sale,1/2/17,1/2/17,AMAZON MKTPLACE PMTS,-16.99,Goods
Sale,1/2/17,1/3/17,PAYPAL *UDEMY,-90,Study
Sale,1/1/17,1/2/17,ALIEXPRESS,-24.99,Goods
Sale,12/31/16,1/2/17,PAYPAL *PURITANSPRI,-13.99,Goods
Sale,12/31/16,1/2/17,PAYPAL *WALMART COM,-8.98,Goods
Sale,12/31/16,1/1/17,PAYPAL *DIGIZONE,-2.17,Goods
Sale,12/31/16,1/1/17,SQ *COOL TEA BAR  WAVERLY,-8.72,Foods
